"table_name","column_name","data_type","is_nullable"
"analytics","analysis_data","jsonb","YES"
"risk_assessments","business_risk","numeric","YES"
"risk_assessments","regulatory_risk","numeric","YES"
"swot_analysis","swot_id","bigint","NO"
"swot_analysis","project_id","bigint","NO"
"swot_analysis","strengths","jsonb","NO"
"swot_analysis","weaknesses","jsonb","NO"
"swot_analysis","opportunities","jsonb","NO"
"swot_analysis","threats","jsonb","NO"
"swot_analysis","generated_at","timestamp with time zone","YES"
"swot_analysis","is_latest","boolean","YES"
"success_predictions","prediction_id","bigint","NO"
"success_predictions","project_id","bigint","NO"
"success_predictions","success_probability","numeric","YES"
"success_predictions","overall_risk_score","numeric","YES"
"success_predictions","confidence_score","integer","YES"
"success_predictions","prediction_details","jsonb","YES"
"success_predictions","prediction_date","timestamp with time zone","YES"
"success_predictions","is_latest","boolean","YES"
"success_predictions","confidence_rating","numeric","YES"
"recommendations","recommendation_id","bigint","NO"
"recommendations","project_id","bigint","NO"
"recommendations","implementation_steps","jsonb","YES"
"recommendations","generated_at","timestamp with time zone","YES"
"recommendations","is_latest","boolean","YES"
"assessment_reports","report_id","bigint","NO"
"assessment_reports","project_id","bigint","NO"
"assessment_reports","generated_at","timestamp with time zone","YES"
"assessment_reports","is_latest","boolean","YES"
"project_assessments_latest","project_id","bigint","YES"
"project_assessments_latest","budget","numeric","YES"
"project_assessments_latest","created_at","timestamp with time zone","YES"
"project_assessments_latest","success_probability","numeric","YES"
"project_assessments_latest","overall_risk_score","numeric","YES"
"project_assessments_latest","confidence_rating","numeric","YES"
"project_assessments_latest","prediction_date","timestamp with time zone","YES"
"project_assessments_latest","strengths","jsonb","YES"
"project_assessments_latest","weaknesses","jsonb","YES"
"project_assessments_latest","opportunities","jsonb","YES"
"project_assessments_latest","threats","jsonb","YES"
"project_assessments_latest","risks","json","YES"
"project_assessments_latest","recommendations","json","YES"
"projects_014","budget","numeric","YES"
"projects_014","created_at","timestamp without time zone","YES"
"users","user_id","bigint","NO"
"users","is_active","boolean","YES"
"users","last_login","timestamp with time zone","YES"
"users","created_at","timestamp with time zone","YES"
"users","updated_at","timestamp with time zone","YES"
"analytics_logs","log_id","bigint","NO"
"analytics_logs","user_id","bigint","YES"
"analytics_logs","activity_details","jsonb","YES"
"analytics_logs","ip_address","inet","YES"
"analytics_logs","timestamp","timestamp with time zone","YES"
"analytics","usg_id","bigint","NO"
"analytics","project_id","bigint","NO"
"analytics","project_budget","numeric","YES"
"analytics","markets","jsonb","YES"
"projects_014","project_id","integer","NO"
"analytics","created_at","timestamp with time zone","YES"
"analytics","generated_at","timestamp with time zone","YES"
"projects","project_id","bigint","NO"
"projects","user_id","bigint","NO"
"projects","budget","numeric","YES"
"projects","created_at","timestamp with time zone","YES"
"projects","updated_at","timestamp with time zone","YES"
"projects","employees_count","integer","YES"
"projects","founder_experience_years","integer","YES"
"competitor_analysis","analysis_id","bigint","NO"
"competitor_analysis","project_id","bigint","NO"
"competitor_analysis","analysis_details","jsonb","YES"
"competitor_analysis","analysis_date","timestamp with time zone","YES"
"risk_assessments","risk_id","bigint","NO"
"risk_assessments","project_id","bigint","NO"
"risk_assessments","risk_score","numeric","YES"
"risk_assessments","assessment_date","timestamp with time zone","YES"
"risk_assessments","is_latest","boolean","YES"
"risk_assessments","financial_risk","numeric","YES"
"risk_assessments","market_risk","numeric","YES"
"risk_assessments","technical_risk","numeric","YES"
"projects_014","project_name","character varying","NO"
"projects_014","industry","character varying","NO"
"projects_014","business_model","character varying","NO"
"projects_014","target_market","character varying","NO"
"recommendations","risk_mitigation","text","YES"
"projects_014","description","text","NO"
"recommendations","priority","character varying","YES"
"recommendations","expected_impact","text","YES"
"users","name","character varying","NO"
"users","email","character varying","NO"
"users","password_hash","text","NO"
"users","role","character varying","NO"
"assessment_reports","report_summary","text","YES"
"project_assessments_latest","industry","character varying","YES"
"project_assessments_latest","swot_summary","text","YES"
"competitor_analysis","competitor_name","character varying","NO"
"competitor_analysis","market_position","character varying","YES"
"competitor_analysis","competitive_risk","character varying","YES"
"analytics_logs","activity_type","character varying","NO"
"project_assessments_latest","system_evaluation","character varying","YES"
"project_assessments_latest","project_name","character varying","YES"
"analytics_logs","user_agent","text","YES"
"success_predictions","system_evaluation","character varying","YES"
"assessment_reports","report_path","text","NO"
"risk_assessments","risk_category","character varying","NO"
"analytics","project_type","character varying","YES"
"swot_analysis","summary","text","YES"
"risk_assessments","risk_description","text","YES"
"analytics","industry","character varying","YES"
"risk_assessments","impact_assessment","text","YES"
"risk_assessments","priority_level","character varying","YES"
"risk_assessments","mitigation_strategy","text","YES"
"assessment_reports","report_type","character varying","YES"
"recommendations","recommendation_text","text","NO"
"projects","project_name","character varying","NO"
"projects","project_type","character varying","YES"
"projects","industry","character varying","YES"
"projects","business_model","character varying","YES"
"projects","target_market_size","text","YES"
"recommendations","category","character varying","YES"
"projects","description","text","YES"
