iter	MultiRMSE
0	1.432386399
1	1.432207221
2	1.432176932
3	1.432004654
4	1.43189518
5	1.431808873
6	1.431766454
7	1.431534292
8	1.431491398
9	1.431449863
10	1.431253685
11	1.431078954
12	1.431034994
13	1.430958493
14	1.430791415
15	1.430671776
16	1.430516772
17	1.43043221
18	1.430240947
19	1.430076631
20	1.429894057
21	1.429838309
22	1.429555435
23	1.429499878
24	1.429430155
25	1.429243396
26	1.429210995
27	1.429086243
28	1.428965077
29	1.428839788
30	1.4287795
31	1.428709292
32	1.428508209
33	1.428351814
34	1.428251036
35	1.42806632
36	1.427847259
37	1.427731531
38	1.427647759
39	1.427564537
40	1.427469075
41	1.427272886
42	1.427087741
43	1.426948355
44	1.426832218
45	1.426724641
46	1.426644674
47	1.426484322
48	1.42639703
49	1.426317466
50	1.426197814
51	1.426096738
52	1.425988679
53	1.42586307
54	1.425672279
55	1.425654174
56	1.425590066
57	1.425516376
58	1.425370867
59	1.425175144
60	1.425080737
61	1.424866481
62	1.424726443
63	1.424495656
64	1.424403444
65	1.424106213
66	1.424048056
67	1.423940272
68	1.423842178
69	1.423712942
70	1.423709935
71	1.423622517
72	1.423539233
73	1.423452314
74	1.423451328
75	1.423339686
76	1.423339145
77	1.423242659
78	1.423096556
79	1.422997577
80	1.42285791
81	1.422692433
82	1.422628328
83	1.422567273
84	1.422475933
85	1.422307075
86	1.422159359
87	1.422043972
88	1.4217981
89	1.421631564
90	1.421387818
91	1.421265267
92	1.42119919
93	1.42117076
94	1.421104012
95	1.421030063
96	1.420985452
97	1.420870418
98	1.420725048
99	1.420570673
100	1.420429954
101	1.42037356
