iter	Passed	Remaining
0	266	399468
1	343	257355
2	405	202456
3	469	175441
4	599	179339
5	725	180593
6	819	174755
7	884	165019
8	961	159360
9	1025	152751
10	1112	150657
11	1199	148716
12	1276	146061
13	1343	142579
14	1423	140911
15	1491	138316
16	1582	138078
17	1666	137168
18	1755	136861
19	1843	136433
20	1962	138182
21	2049	137660
22	2134	137096
23	2215	136227
24	2280	134526
25	2354	133476
26	2418	131955
27	2492	131036
28	2558	129799
29	2643	129523
30	2715	128667
31	2790	127993
32	2860	127157
33	3107	133973
34	3214	134545
35	3305	134431
36	3381	133702
37	3447	132653
38	3508	131421
39	3577	130564
40	3668	130547
41	3746	130061
42	3820	129446
43	3893	128834
44	3971	128427
45	4054	128152
46	4118	127337
47	4192	126822
48	4257	126065
49	4329	125553
50	4401	125042
51	4485	124890
52	4569	124767
53	4666	124958
54	4776	125483
55	4799	123757
56	4886	123711
57	4964	123432
58	5049	123324
59	5122	122928
60	5193	122510
61	5267	122180
62	5341	121832
63	5417	121554
64	5484	121079
65	5571	121060
66	5640	120640
67	5738	120850
68	5818	120664
69	5879	120106
70	5900	118759
71	5973	118476
72	6047	118224
73	6334	122064
74	6376	121156
75	6454	120942
76	6484	119839
77	6557	119541
78	6646	119552
79	6722	119320
80	6788	118926
81	6876	118905
82	6953	118720
83	7027	118462
84	7095	118114
85	7169	117877
86	7244	117667
87	7319	117437
88	7392	117193
89	7466	116973
90	7533	116638
91	7608	116443
92	7670	116047
93	7733	115677
94	7820	115665
95	7885	115328
96	7956	115086
97	8036	114972
98	8108	114750
99	8183	114570
100	8255	114352
101	8342	114340
