Startup_Name,Industry,Business_Model,Target_Market_Size,Budget_INR,Employees_Count,Founder_Experience_Years,Project_Description,Success_Probability,Success_Status,Financial_Risk,Market_Risk,Technical_Risk,Business_Risk,Regulatory_Risk,Overall_Risk_Score,Confidence_Rating,System_Evaluation
VistaFlow67,Technology,B2G,Medium,68782,22,7,An innovative B2G solution targeting medium enterprises.,92.78,1,0.0,0.0,0.0,0.0,0.0,6.29,92.78,Very Strong Potential
IotaInnovations16,Retail,SaaS,Medium,91776,15,9,A mobile-first SaaS toolkit serving medium market needs.,94.8,1,0.0,0.0,0.0,0.0,0.0,4.63,94.8,Very Strong Potential
LighthouseCeleste71,Healthcare,SaaS,Large,705849,49,8,A cutting-edge SaaS service serving large market needs.,95.0,1,1.22,1.22,1.22,1.22,1.22,5.61,95.0,Very Strong Potential
PulseGroup91,Technology,B2C,Large,515563,5,4,A mobile-first B2C toolkit targeting large enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.87,95.0,Very Strong Potential
SigmaFlow13,E-commerce,C2C,Medium,67154,3,8,A data-driven C2C platform targeting medium enterprises.,95.0,1,0.15,0.15,0.15,0.15,0.15,5.07,95.0,Very Strong Potential
RhoPartners32,Healthcare,Advertising,Medium,220996,20,2,A mobile-first Advertising ecosystem targeting medium enterprises.,92.72,1,0.48,0.48,0.48,0.48,0.48,7.52,92.72,Very Strong Potential
ZetaVentures46,Technology,C2C,Small,274126,135,9,A next-generation C2C solution serving small market needs.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.64,95.0,Very Strong Potential
IlluminateLabs55,Technology,Freemium,Large,259136,25,4,A mobile-first Freemium solution targeting large enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.15,95.0,Very Strong Potential
SigmaGroup79,Education,Advertising,Large,63270,1,13,A mobile-first Advertising platform serving large market needs.,95.0,1,0.32,0.32,0.32,0.32,0.32,5.16,95.0,Very Strong Potential
ApexVentures27,E-commerce,B2G,Large,210962,1,4,A cutting-edge B2G infrastructure targeting large enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.54,95.0,Very Strong Potential
VibeAI65,Technology,Marketplace,Small,29643432,15,0,A mobile-first Marketplace ecosystem targeting small enterprises.,95.0,1,1.87,1.87,1.87,1.87,1.87,5.93,95.0,Very Strong Potential
DeltaCeleste77,Technology,Direct Sales,Large,275661,2,8,A next-generation Direct Sales toolkit targeting large enterprises.,94.13,1,0.0,0.0,0.0,0.0,0.0,5.85,94.13,Very Strong Potential
XiSync49,Education,Freemium,Small,11278,5,3,A mobile-first Freemium service targeting small enterprises.,95.0,1,1.69,1.69,1.69,1.69,1.69,5.84,95.0,Very Strong Potential
MuPartners79,Finance,Freemium,Large,79198,22,3,A data-driven Freemium infrastructure serving large market needs.,95.0,1,1.61,1.61,1.61,1.61,1.61,5.8,95.0,Very Strong Potential
SparkWave43,E-commerce,Subscription,Small,334959,1,15,An innovative Subscription platform serving small market needs.,95.0,1,0.26,0.26,0.26,0.26,0.26,5.13,95.0,Very Strong Potential
VibeSystems28,Healthcare,B2C,Medium,2141164,46,3,A next-generation B2C ecosystem targeting medium enterprises.,92.99,1,0.0,0.0,0.0,0.0,0.0,6.35,92.99,Very Strong Potential
NexusSolutions97,Manufacturing,C2C,Small,2439604,15,8,An AI-powered C2C service targeting small enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.23,95.0,Very Strong Potential
AlphaCloud29,Healthcare,B2C,Large,599018,10,0,A blockchain-enabled B2C platform targeting large enterprises.,95.0,1,1.92,1.92,1.92,1.92,1.92,5.96,95.0,Very Strong Potential
KappaCore78,Finance,B2B,Medium,386586,4,13,An innovative B2B solution serving medium market needs.,92.73,1,0.0,0.0,0.0,0.0,0.0,6.91,92.73,Very Strong Potential
IotaWave96,Healthcare,SaaS,Medium,24638,8,3,A cloud-based SaaS ecosystem serving medium market needs.,95.0,1,1.72,1.72,1.72,1.72,1.72,5.86,95.0,Very Strong Potential
NexusGroup23,Transportation,B2G,Small,15208,2,1,A data-driven B2G service targeting small enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.88,95.0,Very Strong Potential
AstraCore69,Healthcare,Freemium,Medium,116401,1,5,An AI-powered Freemium solution serving medium market needs.,95.0,1,1.6,1.6,1.6,1.6,1.6,5.8,95.0,Very Strong Potential
DeltaVentures56,Finance,Direct Sales,Small,204448,32,17,A next-generation Direct Sales service serving small market needs.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.6,95.0,Very Strong Potential
OmicronNebula89,Technology,Subscription,Medium,87545,34,7,A cloud-based Subscription solution targeting medium enterprises.,93.86,1,0.0,0.0,0.0,0.0,0.0,5.87,93.86,Very Strong Potential
NexusSolutions50,E-commerce,B2B,Small,15334788,16,6,An AI-powered B2B toolkit serving small market needs.,95.0,1,0.68,0.68,0.68,0.68,0.68,5.34,95.0,Very Strong Potential
VertexInnovations92,Energy,SaaS,Medium,49678,14,15,A cloud-based SaaS toolkit serving medium market needs.,95.0,1,1.55,1.55,1.55,1.55,1.55,5.77,95.0,Very Strong Potential
ChiDynamics31,Healthcare,SaaS,Medium,813332,9,9,A cutting-edge SaaS solution serving medium market needs.,92.89,1,0.8,0.8,0.8,0.8,0.8,7.51,92.89,Very Strong Potential
ApexAnalytics55,E-commerce,B2B,Medium,277168,63,6,A blockchain-enabled B2B infrastructure targeting medium enterprises.,95.0,1,0.06,0.06,0.06,0.06,0.06,5.03,95.0,Very Strong Potential
EtaData96,Technology,B2B,Small,18494,35,1,A blockchain-enabled B2B infrastructure targeting small enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.63,95.0,Very Strong Potential
ZenVentures60,Technology,Marketplace,Small,438629,11,1,A next-generation Marketplace toolkit targeting small enterprises.,94.69,1,0.79,0.79,0.79,0.79,0.79,5.71,94.69,Very Strong Potential
ChiSystems25,E-commerce,B2B,Small,53296,89,4,An AI-powered B2B ecosystem serving small market needs.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.87,95.0,Very Strong Potential
ZetaData56,Technology,Marketplace,Medium,476324,16,1,A cutting-edge Marketplace ecosystem targeting medium enterprises.,94.07,1,1.2,1.2,1.2,1.2,1.2,6.53,94.07,Very Strong Potential
SonicLabs52,Real Estate,B2C,Medium,379414,8,4,A blockchain-enabled B2C infrastructure targeting medium enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.34,95.0,Very Strong Potential
KappaDynamics34,Technology,Marketplace,Medium,512565,157,14,A blockchain-enabled Marketplace toolkit targeting medium enterprises.,92.59,1,0.95,0.95,0.95,0.95,0.95,7.88,92.59,Very Strong Potential
PiWave87,Finance,Direct Sales,Large,64134,4,4,A next-generation Direct Sales ecosystem serving large market needs.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.93,95.0,Very Strong Potential
RhoSolutions77,Technology,Subscription,Large,70763,5,33,An AI-powered Subscription toolkit targeting large enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.61,95.0,Very Strong Potential
ThetaCeleste74,E-commerce,C2C,Large,24827,5,0,A blockchain-enabled C2C toolkit serving large market needs.,92.77,1,0.0,0.0,0.0,0.0,0.0,7.13,92.77,Very Strong Potential
VistaDynamics73,Healthcare,Freemium,Large,80673,3,5,A next-generation Freemium service targeting large enterprises.,93.83,1,0.45,0.45,0.45,0.45,0.45,6.4,93.83,Very Strong Potential
NuPartners68,Technology,C2C,Small,841438,36,8,A cloud-based C2C solution serving small market needs.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.73,95.0,Very Strong Potential
AstraFlow23,Finance,C2C,Medium,137598,3,11,An innovative C2C toolkit targeting medium enterprises.,93.04,1,0.0,0.0,0.0,0.0,0.0,6.72,93.04,Very Strong Potential
IlluminateData92,Technology,B2B,Large,82046,3,8,A mobile-first B2B infrastructure serving large market needs.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.45,95.0,Very Strong Potential
NuLabs10,Technology,C2C,Large,999804,123,15,A cloud-based C2C solution targeting large enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.49,95.0,Very Strong Potential
ChiAnalytics50,Technology,C2C,Large,95838,43,8,An innovative C2C solution targeting large enterprises.,93.0,1,0.18,0.18,0.18,0.18,0.18,7.09,93.0,Very Strong Potential
IlluminateAI33,Education,B2B,Small,587870,16,4,A cloud-based B2B solution serving small market needs.,94.79,1,0.0,0.0,0.0,0.0,0.0,5.09,94.79,Very Strong Potential
TrekData43,Technology,Freemium,Small,3808605,71,5,A cloud-based Freemium infrastructure targeting small enterprises.,95.0,1,1.08,1.08,1.08,1.08,1.08,5.54,95.0,Very Strong Potential
GravitasTech84,Technology,Advertising,Medium,288619,24,3,A blockchain-enabled Advertising platform serving medium market needs.,95.0,1,0.06,0.06,0.06,0.06,0.06,5.03,95.0,Very Strong Potential
XiVentures15,Manufacturing,Advertising,Large,86272,7,11,A next-generation Advertising ecosystem serving large market needs.,93.14,1,1.42,1.42,1.42,1.42,1.42,7.57,93.14,Very Strong Potential
PsiFlow41,Technology,Advertising,Medium,312157,19,0,A data-driven Advertising infrastructure serving medium market needs.,94.61,1,0.45,0.45,0.45,0.45,0.45,5.61,94.61,Very Strong Potential
QuantumSolutions36,Agriculture,C2C,Medium,141385,27,2,A cloud-based C2C solution targeting medium enterprises.,95.0,1,1.5,1.5,1.5,1.5,1.5,5.75,95.0,Very Strong Potential
NovaPartners66,Finance,Subscription,Medium,330646,3,6,A mobile-first Subscription infrastructure targeting medium enterprises.,93.9,1,0.0,0.0,0.0,0.0,0.0,6.09,93.9,Very Strong Potential
NexusCore69,Technology,Franchise,Medium,11986,14,2,A cloud-based Franchise platform serving medium market needs.,92.52,1,0.0,0.0,0.0,0.0,0.0,7.18,92.52,Very Strong Potential
EmeraldFlow66,Healthcare,B2B,Large,223591,15,4,An AI-powered B2B solution targeting large enterprises.,94.77,1,0.0,0.0,0.0,0.0,0.0,4.37,94.77,Very Strong Potential
SigmaFlow30,E-commerce,Franchise,Medium,413454,16,5,A cloud-based Franchise platform targeting medium enterprises.,94.68,1,1.46,1.46,1.46,1.46,1.46,6.05,94.68,Very Strong Potential
PhiInnovations61,Technology,Freemium,Large,35102774,72,25,An AI-powered Freemium infrastructure serving large market needs.,95.0,1,0.16,0.16,0.16,0.16,0.16,5.08,95.0,Very Strong Potential
ZetaInnovations75,Healthcare,B2G,Medium,1237623,4,5,An AI-powered B2G solution targeting medium enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.75,95.0,Very Strong Potential
EmeraldAI19,Technology,Marketplace,Small,56958,4,4,A next-generation Marketplace service targeting small enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.32,95.0,Very Strong Potential
SigmaAnalytics94,Manufacturing,B2B,Small,209332,4,12,A cutting-edge B2B platform serving small market needs.,94.96,1,0.81,0.81,0.81,0.81,0.81,5.44,94.96,Very Strong Potential
ZenInnovations35,E-commerce,Subscription,Large,560604,86,5,A data-driven Subscription solution targeting large enterprises.,95.0,1,1.7,1.7,1.7,1.7,1.7,5.85,95.0,Very Strong Potential
LambdaData74,Agriculture,B2B,Small,441932,18,6,A cutting-edge B2B toolkit serving small market needs.,94.46,1,0.18,0.18,0.18,0.18,0.18,5.63,94.46,Very Strong Potential
TrekCapital91,E-commerce,B2C,Medium,363140,50,1,A cutting-edge B2C solution serving medium market needs.,94.06,1,0.09,0.09,0.09,0.09,0.09,5.98,94.06,Very Strong Potential
XenonZephyr47,E-commerce,B2B,Medium,279720,8,7,An AI-powered B2B ecosystem serving medium market needs.,93.4,1,0.16,0.16,0.16,0.16,0.16,6.68,93.4,Very Strong Potential
LighthouseData73,Real Estate,Advertising,Medium,146995,16,9,A cloud-based Advertising infrastructure serving medium market needs.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.44,95.0,Very Strong Potential
NovaWave91,Technology,Franchise,Small,315709,19,10,An AI-powered Franchise infrastructure targeting small enterprises.,95.0,1,1.53,1.53,1.53,1.53,1.53,5.77,95.0,Very Strong Potential
XiAnalytics66,Finance,SaaS,Small,371513,18,6,A next-generation SaaS infrastructure targeting small enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.26,95.0,Very Strong Potential
SonicAnalytics17,Finance,Franchise,Small,4989503,72,10,A next-generation Franchise toolkit serving small market needs.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.9,95.0,Very Strong Potential
IotaSync94,E-commerce,Marketplace,Medium,74907,9,6,A cloud-based Marketplace service targeting medium enterprises.,92.78,1,0.09,0.09,0.09,0.09,0.09,7.27,92.78,Very Strong Potential
OmicronAnalytics48,Transportation,Direct Sales,Small,876847,86,5,A mobile-first Direct Sales infrastructure targeting small enterprises.,93.13,1,0.9,0.9,0.9,0.9,0.9,7.32,93.13,Very Strong Potential
SparkGroup48,Technology,Marketplace,Medium,404796,19,13,A cloud-based Marketplace platform targeting medium enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.35,95.0,Very Strong Potential
SigmaCeleste29,Finance,B2G,Large,13792,31,1,An innovative B2G infrastructure targeting large enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.17,95.0,Very Strong Potential
NuData17,Healthcare,Franchise,Small,963296,17,4,An innovative Franchise infrastructure targeting small enterprises.,93.23,1,0.84,0.84,0.84,0.84,0.84,7.19,93.23,Very Strong Potential
LuminaDynamics63,Technology,B2B,Small,27881,48,8,A cutting-edge B2B ecosystem serving small market needs.,93.75,1,1.14,1.14,1.14,1.14,1.14,6.82,93.75,Very Strong Potential
PioneerNebula29,Technology,Franchise,Small,22199,2,4,An innovative Franchise infrastructure targeting small enterprises.,95.0,1,1.43,1.43,1.43,1.43,1.43,5.71,95.0,Very Strong Potential
MuAnalytics14,Healthcare,Freemium,Large,1052032,4,4,A data-driven Freemium platform targeting large enterprises.,95.0,1,0.73,0.73,0.73,0.73,0.73,5.37,95.0,Very Strong Potential
PioneerCloud61,E-commerce,Marketplace,Small,6015963,22,0,An innovative Marketplace ecosystem targeting small enterprises.,94.31,1,1.21,1.21,1.21,1.21,1.21,6.29,94.31,Very Strong Potential
NuSync66,Food & Beverage,B2C,Medium,105098,45,32,A data-driven B2C ecosystem targeting medium enterprises.,93.46,1,0.0,0.0,0.0,0.0,0.0,6.4,93.46,Very Strong Potential
SparkGroup36,Technology,Marketplace,Small,119184,16,9,A mobile-first Marketplace solution targeting small enterprises.,93.81,1,0.6,0.6,0.6,0.6,0.6,6.49,93.81,Very Strong Potential
VirtuAI42,Retail,B2B,Medium,307153,72,12,A cloud-based B2B ecosystem serving medium market needs.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.92,95.0,Very Strong Potential
TrekGroup70,Technology,Advertising,Medium,2242343,100,5,A next-generation Advertising infrastructure serving medium market needs.,93.03,1,0.87,0.87,0.87,0.87,0.87,7.41,93.03,Very Strong Potential
PsiNebula55,Transportation,SaaS,Small,372417,5,5,An AI-powered SaaS solution targeting small enterprises.,95.0,1,0.35,0.35,0.35,0.35,0.35,5.18,95.0,Very Strong Potential
KappaData46,Finance,C2C,Medium,18988,9,15,A mobile-first C2C service targeting medium enterprises.,93.53,1,1.73,1.73,1.73,1.73,1.73,7.34,93.53,Very Strong Potential
RhoAI93,Finance,B2C,Medium,658873,14,1,A cutting-edge B2C solution targeting medium enterprises.,94.79,1,0.59,0.59,0.59,0.59,0.59,5.5,94.79,Very Strong Potential
ZenInnovations23,Healthcare,Advertising,Small,20666255,3,9,A data-driven Advertising ecosystem targeting small enterprises.,95.0,1,1.12,1.12,1.12,1.12,1.12,5.56,95.0,Very Strong Potential
TauWave92,E-commerce,Subscription,Medium,159701,5,1,A blockchain-enabled Subscription infrastructure targeting medium enterprises.,94.56,1,0.13,0.13,0.13,0.13,0.13,5.5,94.56,Very Strong Potential
NexusSystems84,Entertainment,SaaS,Small,653355,3,12,An innovative SaaS platform serving small market needs.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.83,95.0,Very Strong Potential
PiData50,Technology,Freemium,Medium,625720,3,5,A mobile-first Freemium ecosystem serving medium market needs.,95.0,1,0.17,0.17,0.17,0.17,0.17,5.08,95.0,Very Strong Potential
ZetaInnovations67,Healthcare,B2G,Large,12808,13,7,An innovative B2G toolkit targeting large enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.25,95.0,Very Strong Potential
EmeraldPartners99,Healthcare,Advertising,Medium,186663,14,3,A next-generation Advertising toolkit serving medium market needs.,93.13,1,0.0,0.0,0.0,0.0,0.0,6.53,93.13,Very Strong Potential
AlphaSync84,Finance,Subscription,Medium,14648,42,3,An innovative Subscription platform targeting medium enterprises.,93.19,1,0.0,0.0,0.0,0.0,0.0,5.94,93.19,Very Strong Potential
SparkGroup33,Real Estate,C2C,Medium,201397,133,14,A cloud-based C2C infrastructure targeting medium enterprises.,95.0,1,0.92,0.92,0.92,0.92,0.92,5.46,95.0,Very Strong Potential
NexusTech50,Transportation,Marketplace,Medium,177110,38,17,A cloud-based Marketplace toolkit targeting medium enterprises.,95.0,1,0.0,0.0,0.0,0.0,0.0,4.79,95.0,Very Strong Potential
