iter	MultiRMSE
0	24.79905867
1	24.51929521
2	24.21140948
3	23.92630941
4	23.65714515
5	23.40419709
6	23.16411828
7	22.9401594
8	22.70752152
9	22.48048176
10	22.29007333
11	22.08071996
12	21.87621461
13	21.69365551
14	21.52886535
15	21.35449858
16	21.18504739
17	21.02257629
18	20.87762479
19	20.72260441
20	20.58890128
21	20.44656818
22	20.31643394
23	20.18879752
24	20.07200596
25	19.95687212
26	19.83514806
27	19.72797264
28	19.63373634
29	19.53277595
30	19.43404731
31	19.32901444
32	19.2334361
33	19.14302356
34	19.06290769
35	18.98103008
36	18.89899981
37	18.81562854
38	18.73232163
39	18.66257465
40	18.59627833
41	18.52158945
42	18.45426019
43	18.37998933
44	18.32291383
45	18.25104992
46	18.18590867
47	18.12940034
48	18.07174777
49	18.01841088
50	17.9656437
51	17.92018233
52	17.87323394
53	17.82936786
54	17.77327183
55	17.72587594
56	17.67336311
57	17.63284178
58	17.5858341
59	17.54266957
60	17.50013065
61	17.45526651
62	17.41828706
63	17.38174924
64	17.34073155
65	17.30448597
66	17.2667148
67	17.23563116
68	17.20136336
69	17.17490822
70	17.1403576
71	17.10660595
72	17.07696091
73	17.05321098
74	17.02581497
75	17.0001465
76	16.97701453
77	16.94830789
78	16.92075268
79	16.90180786
80	16.88272548
81	16.85645887
82	16.82946497
83	16.80673757
84	16.78535106
85	16.76992614
86	16.74965169
87	16.72776759
88	16.70785557
89	16.69196713
90	16.67359542
91	16.65116609
92	16.63513449
93	16.61737878
94	16.60300569
95	16.58606485
96	16.56938444
97	16.55481327
98	16.54516486
99	16.5320958
100	16.51699057
101	16.50169293
102	16.48642641
103	16.47280895
104	16.46133705
105	16.44731231
106	16.43168105
107	16.41668045
108	16.40431325
109	16.393624
110	16.37871012
111	16.36889703
112	16.35765859
113	16.33973039
114	16.32901613
115	16.3180055
116	16.30746865
117	16.29710621
118	16.28423821
119	16.27207375
120	16.25975042
121	16.24478525
122	16.23347165
123	16.22234847
124	16.2119284
125	16.20407709
126	16.19214533
127	16.18944673
128	16.17693441
129	16.16611882
130	16.15744797
131	16.14503004
132	16.13841091
133	16.12788669
134	16.11963428
135	16.10877885
136	16.0974511
137	16.0911402
138	16.07802566
139	16.06659115
140	16.05692353
141	16.04564177
142	16.03922501
143	16.03209578
144	16.02136929
145	16.01551202
146	16.01123731
147	16.00027468
148	15.99453329
149	15.98203593
150	15.97592349
151	15.96809288
152	15.95895707
153	15.95391331
154	15.94572418
155	15.94021514
156	15.93482027
157	15.9301218
158	15.92367842
159	15.91410163
160	15.9097112
161	15.90367015
162	15.8990269
163	15.89349745
164	15.88517769
165	15.87486591
166	15.86913201
167	15.86263798
168	15.85454479
169	15.84630262
170	15.84154981
171	15.83568103
172	15.83017573
173	15.82290793
174	15.81466368
175	15.80783504
176	15.80507123
177	15.79737158
178	15.79359245
179	15.79047243
180	15.78787441
181	15.77882712
182	15.77359664
183	15.7689093
184	15.76422072
185	15.76071328
186	15.75731911
187	15.75070694
188	15.74533464
189	15.73961327
190	15.73568997
191	15.7299805
192	15.72582312
193	15.72447708
194	15.71793435
195	15.71243569
196	15.70949928
197	15.70351741
198	15.70082303
199	15.69589786
200	15.6897982
201	15.68238638
202	15.67555541
203	15.67138428
204	15.66768251
205	15.66069476
206	15.65748471
207	15.6533281
208	15.64935922
209	15.64587845
210	15.63893179
211	15.63197579
212	15.62686429
213	15.62366888
214	15.6214374
215	15.61742768
216	15.61248588
217	15.6095831
218	15.60346707
219	15.59675283
220	15.59375252
221	15.58736701
222	15.58328583
223	15.58057256
224	15.57540788
225	15.57006911
226	15.5668186
227	15.56440261
228	15.55772154
229	15.55528261
230	15.54865565
231	15.54375195
232	15.54162439
233	15.53741645
234	15.53136275
235	15.52909353
236	15.52565648
237	15.5182178
238	15.51441841
239	15.51204222
240	15.50986431
241	15.50732029
242	15.50514237
243	15.50382174
244	15.50049733
245	15.49845311
246	15.49549882
247	15.49043546
248	15.4887765
249	15.48463254
250	15.48132637
251	15.4770523
252	15.47278002
253	15.46860981
254	15.46549249
255	15.45872679
256	15.45411369
257	15.45139931
258	15.44507989
259	15.44374262
260	15.44134117
261	15.4372264
262	15.43481832
263	15.42987684
264	15.4269585
265	15.42329972
266	15.41666311
267	15.4110885
268	15.40717756
269	15.40104021
270	15.39947822
271	15.3956106
272	15.39096365
273	15.38936294
274	15.38634835
275	15.38139407
276	15.37597872
277	15.37005832
278	15.36529512
279	15.36037375
280	15.35807297
281	15.35333238
282	15.35000689
283	15.34475895
284	15.34056031
285	15.3395116
286	15.33734354
287	15.33457947
288	15.33024194
289	15.32556763
290	15.32053175
291	15.31825715
292	15.31333557
293	15.31103115
294	15.30705416
295	15.30102885
296	15.29816337
297	15.29561557
298	15.29101547
299	15.28917967
300	15.28423491
301	15.28138894
302	15.27582896
303	15.27064867
304	15.26850975
305	15.26548706
306	15.26360792
307	15.25861427
308	15.25368166
309	15.24932793
310	15.24696708
311	15.24421093
312	15.23976834
313	15.23576289
314	15.23108592
315	15.23057988
316	15.22631581
317	15.22283269
318	15.21942707
319	15.21803857
320	15.21463116
321	15.21131245
322	15.20693033
323	15.20284142
324	15.20006099
325	15.19830962
326	15.19600184
327	15.1932872
328	15.19002669
329	15.18622466
330	15.1837611
331	15.18094453
332	15.17712475
333	15.17304915
334	15.16863139
335	15.1649818
336	15.16143376
337	15.15595154
338	15.15188023
339	15.14699206
340	15.14434485
341	15.14290219
342	15.13858181
343	15.13529361
344	15.13160664
345	15.12768197
346	15.1267026
347	15.12349451
348	15.12061811
349	15.1179768
350	15.11574255
351	15.11242921
352	15.10739774
353	15.10261688
354	15.1000579
355	15.09526726
356	15.09041256
357	15.08715127
358	15.08518994
359	15.08311679
360	15.08230241
361	15.07818523
362	15.07512828
363	15.07085857
364	15.06742966
365	15.06374186
366	15.06207458
367	15.05897341
368	15.05553139
369	15.05078166
370	15.04836255
371	15.0444935
372	15.04377674
373	15.03955925
374	15.03432896
375	15.03015293
376	15.02535216
377	15.02190002
378	15.01953412
379	15.01605904
380	15.01302536
381	15.00674408
382	15.00288023
383	15.00044357
384	14.99683078
385	14.99367639
386	14.99102519
387	14.98677788
388	14.98448
389	14.98281905
390	14.98222581
391	14.97903134
392	14.97599113
393	14.97550892
394	14.97233126
395	14.96995073
396	14.96758966
397	14.96478907
398	14.96163222
399	14.95806888
400	14.95395142
401	14.95237897
402	14.94920418
403	14.94660039
404	14.94293422
405	14.94060446
406	14.93732627
407	14.93547606
408	14.93364675
409	14.93145972
410	14.92983978
411	14.92955512
412	14.92719172
413	14.92214793
414	14.9200462
415	14.91847248
416	14.9158003
417	14.91380992
418	14.90938724
419	14.90742821
420	14.90562671
421	14.90532363
422	14.90316354
423	14.90201142
424	14.89970898
425	14.89842956
426	14.89629497
427	14.89405007
428	14.89167621
429	14.88850055
430	14.88511442
431	14.8829149
432	14.88161948
