Startup_Name,Industry,Business_Model,Target_Market_Size,Budget_INR,Employees_Count,Founder_Experience_Years,Project_Description,Success_Probability,Success_Status,Financial_Risk,Market_Risk,Technical_Risk,Business_Risk,Regulatory_Risk,Overall_Risk_Score
CosmicDynamo,E-commerce,B2C,Large,4150073,36,4,A mobile-first B2C commerce platform targeting large online shoppers.,52.29242960387046,1.0,89.53731347042529,48.3654120100742,0.0,43.09149441678675,0.7539860833562813,47.38091836523948
MeteorShift,Media,B2C,Small,7302976,86,4,A B2C media platform providing small content solutions.,24.97587390768137,0.0,81.96165236827018,68.2152329246823,0.0,43.26604675579266,18.957061267216034,47.31206734128985
OrionIgnite13,Cybersecurity,B2B,Medium,28910232,225,11,An AI-driven B2B security solution for medium organizations.,39.308642136957985,0.0,80.51409476261337,49.6876826403813,6.29139203622098,32.3771809832459,33.20722635251686,48.51947618359424
MeridianCascade20,SaaS,Marketplace,Large,13519982,58,11,A Marketplace SaaS platform providing large software solutions.,65.7247942378685,0.0,71.17219199269617,39.05784659961101,14.096193072728434,33.42545414484333,21.147152489916408,35.584616241177315
Wave Hex,FinTech,B2B2C,Medium,6291204,70,4,An AI-powered B2B2C fintech solution for medium financial operations.,33.046731147780214,0.0,100.0,60.847386384197755,12.412624900742333,40.045408919531106,42.11921203637292,51.355698555895785
Neon-Nova,FinTech,SaaS,Large,22769237,340,3,A SaaS financial technology platform serving large financial institutions.,35.57616846387813,0.0,93.53389590821827,25.065517498778206,11.98511777473427,50.74455844530057,29.304303746120343,48.646004281425355
Raptor Axis,Healthcare,B2B,Large,4816074,44,6,A B2B healthcare platform providing large healthcare solutions.,8.763824875083113,0.0,66.99027453861888,33.38431505805479,0.782100499822243,35.60164505918776,29.367035994536806,39.54612516514118
RubyWorks,Manufacturing,Marketplace,Small,9545576,97,9,An IoT-based Marketplace manufacturing solution for small factories.,20.79185423365813,1.0,78.66983195388303,91.80038254605401,28.037533965962453,41.21244794084205,28.380828600948593,59.79735593832796
OmegaSync,SaaS,SaaS,Large,14164318,60,6,A SaaS SaaS platform providing large software solutions.,66.66848949295483,1.0,68.18160298717486,31.124830590195042,8.30063107059299,22.439814640590683,17.61838702359511,31.073806637373465
Reverie Pinnacle,AI/ML,SaaS,Medium,9650151,109,5,A predictive SaaS AI platform serving medium businesses.,87.62416080316852,1.0,84.78380262651908,31.430591674020853,4.058040234510408,45.948285146092395,29.99762160669742,45.14190679357259
MeteorOrion,Healthcare,SaaS,Medium,24736115,386,9,An innovative healthcare SaaS solution targeting medium medical facilities.,62.35778190579643,1.0,74.42024935145194,46.45356393305347,3.98377844322399,32.87157052991338,25.46502852195765,36.9933586144451
WizardVault,Media,SaaS,Small,2343459,21,5,An AI-driven SaaS media production solution for small content creators.,22.793335066547733,0.0,70.91581223108503,69.59490642808086,19.405535165159172,41.38384950523871,8.472438775635284,48.4371279548947
Sage Celeste,CleanTech,Subscription,Small,2431418,9,7,An innovative Subscription clean technology solution for small environmental needs.,31.92689244418793,0.0,78.79540541228477,61.715528717989955,1.7758340343600791,41.29213650396359,10.16752019792328,42.869282098483225
FalconFlow20,FinTech,B2C,Medium,17148627,310,2,A blockchain-based B2C platform targeting medium financial services.,40.88664896070804,1.0,89.91666932358656,60.91786948629538,5.116434415989779,48.719994563060865,22.355153586424837,53.38761878123672
Signal-Vertex,FinTech,B2B2C,Medium,7732397,38,7,An AI-powered B2B2C fintech solution for medium financial operations.,49.118517827315195,1.0,95.7115337019273,63.98759972848984,12.776180652991345,40.884849586023996,31.9839432721952,57.374352404080945
MatrixHelios34,FinTech,B2B,Large,14102204,135,15,An AI-powered B2B fintech solution for large financial operations.,43.847542076469765,1.0,64.1017845723283,34.44964366869002,0.0,36.920025117478865,39.75012909640621,35.58702018606851
Resonance-Axis,E-commerce,B2B,Large,26940303,346,17,A B2B e-commerce platform serving large consumer markets.,57.408000331638576,0.0,66.6891529811793,32.53251755199915,0.0,18.55325744184612,13.56300282184115,35.35599303205407
Paragon Vertex,SaaS,B2B,Large,4317006,58,3,An enterprise B2B SaaS solution targeting large business operations.,12.461804022118432,0.0,77.31606239728119,33.23891866579342,10.536938269506905,52.218406649332294,8.053055683375016,43.832569177910706
ReverieCeleste,Agriculture,B2B,Medium,3350619,10,3,A data-driven B2B platform serving medium agricultural businesses.,32.9595299908537,1.0,66.51761963431152,38.43358325070643,10.200686133221609,40.422524958941324,21.398371466101832,39.34512574326993
Zodiac Pinnacle,EdTech,B2C,Medium,14276960,120,3,An B2C educational technology platform for medium learning institutions.,50.36476523645736,1.0,90.93094599533818,64.87250089401667,0.0,52.80318075692716,14.471010392237337,50.87466492568587
Ridge Eclipse,SaaS,B2B,Medium,11752569,96,18,An enterprise B2B SaaS solution targeting medium business operations.,66.71443383438866,1.0,73.02390004080969,44.31097911017204,0.07631342865652435,23.312242780016298,15.197187451399673,36.99701646374785
XenonOrbit,FinTech,B2B,Medium,4978260,80,14,A B2B financial technology platform serving medium financial institutions.,35.52981799228472,0.0,80.70371532490708,56.94078462169264,0.0,31.04210710444056,42.79837418588791,45.39267901286884
Fusion-Quantum,EdTech,Subscription,Medium,2679717,26,4,An interactive Subscription education platform serving medium academic programs.,24.0185881188521,0.0,83.8384859817073,35.60299901497497,10.950238713534798,35.760156948940946,12.93816140942772,40.19368015837923
Neural-Meridian,E-commerce,B2B,Large,4964770,80,2,A B2B e-commerce platform serving large consumer markets.,31.101239360817054,0.0,73.40886807199456,32.691651185726855,0.0,37.68300673174611,13.171047477784693,32.83027128020431
VertexOrion,Logistics,SaaS,Medium,3168710,32,7,An AI-powered SaaS logistics solution for medium delivery networks.,45.9267375499927,0.0,68.6225453370311,39.35809660150552,21.320768445139564,35.09787497300372,16.058614607306254,37.222978368184855
PrismCipher82,Cybersecurity,B2B,Medium,10337698,79,5,An AI-driven B2B security solution for medium organizations.,55.71412907361691,0.0,93.73940271256637,54.96290830825064,20.385472727409027,55.71345789881684,18.63643383901288,53.40148394440016
SovereignOrion94,FinTech,Subscription,Small,7886365,69,5,An AI-powered Subscription fintech solution for small financial operations.,35.35491296728641,0.0,93.91471604466331,74.82797912485064,11.89132144005325,35.01951799817157,36.67950688423413,45.73551919427236
VelvetIgnite60,SaaS,SaaS,Small,8878532,152,4,A cloud-based SaaS platform serving small organizations.,21.763611006858017,0.0,71.86871896710004,46.0649234375537,25.93554979362584,40.28273943743386,26.85495585628194,40.504299990958444
AlphaNest,SaaS,Marketplace,Medium,4360165,17,16,A cloud-based Marketplace platform serving medium organizations.,52.12331291844174,0.0,68.07598412552407,57.4106976755349,10.148367802828963,36.89119391771132,32.2413727361686,41.60553258397462
YonderEclipse,Healthcare,Marketplace,Small,11385720,143,2,A digital healthcare Marketplace platform improving patient outcomes for small practices.,19.512232963751156,0.0,96.6992220673652,72.5428324139576,13.196872567571766,51.10500265034909,20.326092884374603,54.99800653703234
Ocean Wave,SaaS,B2B,Large,1652817,10,5,An enterprise B2B SaaS solution targeting large business operations.,63.50083794163755,1.0,79.73722507443843,5.723326895180669,26.517310301785376,31.71531049453911,12.036197561293017,31.12782177637831
DigitalFlow,FinTech,Subscription,Small,8317758,43,5,An AI-powered Subscription fintech solution for small financial operations.,65.5325836107326,0.0,87.69821480091647,68.19460690152738,15.798040045441693,41.258314258781084,20.30029511195618,48.515456564360896
Raven-Cipher,Healthcare,SaaS,Large,25390306,338,2,A SaaS healthcare platform providing large healthcare solutions.,27.469275684034404,0.0,80.97357258204441,31.025347149987805,0.0,40.377436192772,32.822919330704416,43.55551409628721
