iter	Passed	Remaining
0	233	349996
1	302	226294
2	371	185327
3	446	167130
4	509	152269
5	598	149030
6	681	145386
7	770	143730
8	847	140364
9	917	136678
10	979	132629
11	1052	130564
12	1124	128593
13	1197	127103
14	1262	124985
15	1332	123629
16	1396	121860
17	1467	120838
18	1529	119214
19	1603	118683
20	1669	117569
21	1737	116717
22	1806	115988
23	1873	115250
24	1940	114471
25	2010	113985
26	2080	113489
27	2145	112770
28	2211	112187
29	2279	111689
30	2348	111311
31	2422	111113
32	2489	110689
33	2567	110715
34	2633	110211
35	2705	110035
36	2771	109571
37	2846	109509
38	2911	109057
39	2983	108881
40	3043	108321
41	3107	107870
42	3179	107740
43	3247	107456
44	3325	107539
45	3397	107374
46	3473	107368
47	3543	107188
48	3661	108429
49	3809	110466
50	3877	110178
51	3981	110881
52	4053	110657
53	4108	110014
54	4183	109921
55	4250	109609
56	4330	109632
57	4397	109333
58	4476	109323
59	4551	109237
60	4773	112614
61	4857	112667
62	4927	112395
63	5000	112198
64	5070	111932
65	5135	111572
66	5198	111186
67	5272	111037
68	5342	110798
69	5418	110697
70	5495	110612
71	5566	110404
72	5646	110386
73	5711	110063
74	5786	109939
75	5854	109697
76	5925	109505
77	5988	109167
78	6065	109097
79	6130	108824
80	6204	108686
81	6269	108419
82	6344	108309
83	6415	108141
84	6487	107998
85	6560	107872
86	6634	107758
87	6709	107660
88	6788	107622
89	6844	107229
90	6908	106974
91	6986	106926
92	7042	106545
93	7124	106562
94	7193	106391
95	7268	106304
96	7341	106182
97	7409	106007
98	7477	105821
99	7542	105591
100	7617	105515
101	7691	105418
102	7772	105425
103	7837	105198
104	7910	105090
105	7980	104949
106	8171	106378
107	8247	106306
108	8307	106016
109	8378	105867
110	8447	105709
111	8513	105504
112	8580	105324
113	8656	105239
114	8736	105214
115	8807	105082
116	8885	105027
117	8948	104798
118	9022	104706
119	9089	104532
120	9166	104466
121	9238	104351
122	9306	104184
123	9366	103938
124	9420	103629
125	9491	103503
126	9567	103439
127	9591	102803
128	9667	102749
129	9747	102726
130	9828	102710
131	9900	102606
132	9965	102425
133	10031	102259
134	10103	102159
135	10174	102046
136	10246	101944
137	10315	101807
138	10384	101676
139	10455	101566
140	10531	101501
141	10609	101461
142	10684	101390
143	10760	101326
144	10829	101202
145	10889	100993
146	10961	100888
147	11029	100756
148	11107	100717
149	11178	100608
150	11257	100571
151	11325	100437
152	11399	100356
153	11459	100154
154	11531	100067
155	11607	100007
156	11691	100006
157	11767	99953
158	11842	99878
159	11915	99791
160	11979	99628
161	12047	99507
162	12110	99336
163	12185	99264
164	12249	99105
165	12324	99044
166	12393	98922
167	12462	98807
168	12539	98757
169	12619	98732
170	12696	98672
171	12750	98446
172	12810	98264
173	12881	98165
174	12950	98053
175	13023	97972
176	13090	97845
177	13156	97716
178	13232	97655
179	13294	97493
180	13363	97386
181	13428	97246
182	13502	97174
183	13594	97231
184	13663	97122
185	13732	97013
186	13794	96855
187	13878	96856
188	13941	96705
189	14013	96620
190	14077	96479
191	14152	96411
192	14220	96302
193	14284	96164
194	14349	96031
195	14421	95947
196	14480	95780
197	14552	95695
198	14621	95591
199	14696	95529
200	14776	95497
201	14853	95442
202	14933	95410
203	14988	95223
204	15058	95128
205	15125	95010
206	15197	94928
207	15265	94820
208	15319	94629
209	15393	94557
210	15475	94540
211	15553	94497
212	15632	94457
213	15698	94335
214	15760	94197
215	15845	94189
216	15915	94101
217	15981	93980
218	16047	93868
219	16127	93830
220	16198	93743
221	16304	93858
222	16433	94103
223	16494	93961
224	16572	93910
225	16652	93873
226	16716	93747
227	16799	93722
228	16873	93651
229	16951	93600
230	17020	93501
231	17098	93449
232	17153	93278
233	17227	93206
234	17293	93091
235	17373	93051
236	17438	92930
237	17515	92877
238	17583	92775
239	17661	92720
240	17721	92578
241	17798	92521
242	17867	92423
243	17926	92277
244	17993	92171
245	18060	92064
246	18126	91954
247	18201	91890
248	18261	91747
249	18329	91648
250	18405	91589
251	18470	91474
252	18554	91451
253	18627	91377
254	18713	91364
255	18786	91291
256	18961	91710
257	19041	91663
258	19112	91576
259	19185	91497
260	19243	91352
261	19917	94113
262	20268	95333
263	20780	97292
264	20859	97213
265	20944	97163
266	21037	97148
267	21418	98462
268	21547	98604
269	21680	98767
270	21769	98723
271	21858	98684
272	21947	98641
273	22023	98544
274	22104	98465
275	22215	98519
276	22700	100227
277	23825	104727
278	23901	104603
279	23976	104469
280	24042	104299
281	24111	104142
282	24188	104019
283	24256	103859
284	24327	103713
285	24440	103742
286	24587	103920
287	24687	103893
288	24783	103851
289	25087	104677
290	25235	104846
291	25359	104910
292	25514	105104
293	25658	105251
294	25768	105258
295	25861	105193
296	25949	105107
297	26049	105073
298	26147	105026
299	26231	104925
300	26304	104780
301	26391	104692
302	26463	104543
